loanId,payFrequency,apr,nPaidOff,loanAmount,originallyScheduledPaymentAmount,state,leadType,leadCost,fpStatus,hasCF,default,timeToApprove,clearfraudscore
LL-I-06644937,0,199.0,0.0,3000.0,6395.19,3,7,0,1,1,0,17.0,879.0
LL-I-17826953,4,645.0,0.0,400.0,1364.87,24,4,40,1,1,0,0.0,658.0
LL-I-16519347,3,490.0,2.0,1250.0,3313.78,19,6,0,1,1,0,0.0,835.0
LL-I-17491287,3,490.0,3.0,1250.0,3112.16,19,6,0,1,1,0,0.0,835.0
LL-I-15679301,3,490.0,1.0,500.0,1292.09,19,6,0,1,1,0,0.0,835.0
LL-I-12500318,3,490.0,0.0,500.0,1271.81,19,0,6,1,1,0,0.0,835.0
LL-I-11506719,0,590.0,0.0,800.0,2432.08,3,0,10,1,1,0,53.0,624.0
LL-I-18309774,0,159.0,1.0,2600.0,8116.01,3,6,0,1,1,0,17.0,624.0
LL-I-09279047,4,404.1,3.0,300.0,422.64,38,6,0,1,1,0,12.0,770.0
LL-I-10219067,4,381.65,4.0,350.0,492.9,38,6,0,1,1,0,4.0,770.0
LL-I-07272718,4,449.99,1.0,500.0,726.77,38,6,0,1,1,0,1.0,770.0
LL-I-18297678,0,315.0,2.0,1500.0,2875.27,12,6,0,3,1,0,0.0,932.0
LL-I-10413611,0,324.0,1.0,1250.0,2581.47,12,6,0,1,1,0,1.0,932.0
LL-I-15095423,3,590.0,0.0,600.0,1802.83,17,4,25,1,1,0,0.0,733.0
LL-I-12323476,2,590.0,0.0,600.0,1444.92,7,0,3,1,1,0,2.0,814.0
LL-I-04577739,0,601.0,0.0,600.0,1616.2,31,4,10,1,1,0,0.0,818.0
LL-I-07240030,0,590.0,0.0,500.0,1368.75,27,0,3,3,1,0,72.0,587.0
LL-I-08315344,4,449.99,0.0,600.0,1562.97,26,0,3,1,1,0,1.0,497.0
LL-I-17032961,0,590.0,0.0,500.0,1509.86,27,0,6,1,1,0,11.0,702.0
LL-I-12831408,4,590.0,0.0,600.0,1916.8,13,0,3,1,1,0,0.0,784.0
LL-I-12283846,0,590.0,0.0,400.0,1182.5,24,0,3,1,1,0,5.0,638.0
LL-I-06082778,0,625.0,1.0,500.0,1600.91,13,6,0,1,1,0,23.0,816.0
LL-I-09042198,0,531.0,2.0,600.0,1566.83,13,6,0,1,1,0,186.0,816.0
LL-I-04968310,0,625.0,0.0,400.0,1107.62,13,4,25,1,1,0,22.0,816.0
LL-I-15933565,0,359.0,0.0,500.0,986.36,36,0,3,1,1,0,4.0,848.0
LL-I-09443981,0,590.0,0.0,350.0,1012.9,27,0,10,1,1,0,0.0,729.0
LL-I-14164848,0,645.0,0.0,350.0,1125.45,7,0,6,3,1,0,11.0,612.0
LL-I-09965603,0,325.0,0.0,1500.0,4865.67,27,7,0,1,1,0,8.0,748.0
LL-I-08124999,3,360.0,3.0,500.0,1129.2,12,6,0,1,1,0,0.0,641.0
LL-I-05982844,3,360.0,1.0,400.0,831.64,12,6,0,1,1,0,2.0,641.0
LL-I-05296575,3,360.0,0.0,350.0,745.96,12,6,0,1,1,0,14.0,641.0
LL-I-12171185,4,590.0,0.0,600.0,1844.83,27,0,3,1,1,0,72.0,759.0
LL-I-17341281,0,516.25,2.0,550.0,1598.02,27,4,25,1,1,0,1.0,689.0
LL-I-12211838,4,590.0,0.0,600.0,1880.76,28,0,3,4,1,0,1.0,718.0
LL-I-04413094,0,601.0,0.0,600.0,1868.15,21,0,3,1,1,0,0.0,660.0
LL-I-11872855,2,199.0,0.0,3000.0,6611.25,3,7,0,1,1,0,4.0,824.0
LL-I-06195817,4,601.0,1.0,750.0,2300.17,21,0,10,1,1,0,72.0,795.0
